"ItemId","ShareId","ItemType","FullPath","RelativePath","Depth","Owner","InheritanceEnabled","InheritanceBrokenAt"
"0ace1e5629f2478aa22391a86a86f377","share-WINSERVER-SSFinance","Directory","C:\ShareSurferEnterpriseLab\Finance","","0","BUILTIN\Administrators","True",""
"76c98bd2223a46cc89313c0bed5d48d1","share-WINSERVER-SSFinance","Directory","C:\ShareSurferEnterpriseLab\Finance\AP","AP","1","BUILTIN\Administrators","True",""
"84d46954832444e2a5eea8f9a863cb1c","share-WINSERVER-SSOperations","Directory","C:\ShareSurferEnterpriseLab\Operations","","0","BUILTIN\Administrators","True",""
"52b782d3c81b47099b599e71c8563704","share-WINSERVER-SSEngineering","Directory","C:\ShareSurferEnterpriseLab\Engineering","","0","BUILTIN\Administrators","True",""
"2941bc9470eb41968791b744255ee798","share-WINSERVER-SSFinance","Directory","C:\ShareSurferEnterpriseLab\Finance\AP\Vendor","AP\Vendor","2","BUILTIN\Administrators","True",""
"28d4c7229cf94cd185204f40efbe26d1","share-WINSERVER-SSFinance","Directory","C:\ShareSurferEnterpriseLab\Finance\AP\Conflict","AP\Conflict","2","BUILTIN\Administrators","True",""
"14a356ced8864c94b7e49308cb629729","share-WINSERVER-SSFinance","Directory","C:\ShareSurferEnterpriseLab\Finance\AP\LongPath","AP\LongPath","2","BUILTIN\Administrators","True",""
"ef5410fd4705493bbfafb20b49039c06","share-WINSERVER-SSEngineering","Directory","C:\ShareSurferEnterpriseLab\Engineering\Projects","Projects","1","BUILTIN\Administrators","True",""
"5141ffbaf18941ae997091a0aab7b081","share-WINSERVER-SSEnt0001","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0001","","0","BUILTIN\Administrators","True",""
"a506011bab0b49e88c663f457d1bb9ce","share-WINSERVER-SSEnt0002","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0002","","0","BUILTIN\Administrators","True",""
"56eb0008479a4d4d99c216861d6809b6","share-WINSERVER-SSEnt0003","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0003","","0","BUILTIN\Administrators","True",""
"b1b7e89f21e840dfb0e36260b4a040e5","share-WINSERVER-SSEnt0004","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0004","","0","BUILTIN\Administrators","True",""
"0120367b536949d385c7450f812f7a2f","share-WINSERVER-SSEnt0005","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0005","","0","BUILTIN\Administrators","True",""
"ac889087abdc4ad1a147fb3cf2c1c7de","share-WINSERVER-SSEnt0006","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0006","","0","BUILTIN\Administrators","True",""
"7a7ce3f47c494dc7806352a6a2c5509d","share-WINSERVER-SSEnt0007","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0007","","0","BUILTIN\Administrators","True",""
"9eb4a5ebc4b3454e94825849a2e95ca1","share-WINSERVER-SSEnt0008","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0008","","0","BUILTIN\Administrators","True",""
"b47b1d0c986a4dcc9bc082ed17a51d56","share-WINSERVER-SSEnt0009","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0009","","0","BUILTIN\Administrators","True",""
"b7727262cda94781a4ea67e69e34685e","share-WINSERVER-SSEnt0010","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0010","","0","BUILTIN\Administrators","True",""
"42d77ce7063649a993bac5faf8954b93","share-WINSERVER-SSEnt0011","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0011","","0","BUILTIN\Administrators","True",""
"52de1a43e1c74e7d943c3e8c75f3cee3","share-WINSERVER-SSEnt0012","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0012","","0","BUILTIN\Administrators","True",""
"90c375fc9e81433b911f6bf8f259b4db","share-WINSERVER-SSEnt0013","Directory","C:\ShareSurferEnterpriseLab\Enterprise\Share0013","","0","BUILTIN\Administrators","True",""
