"ParentGroup","ChildIdentity","ChildObjectClass","Depth","IsCycle","IsTruncated"
"ID-217D54F2A1BE","ID-84902EF31400","group","1","False","False"
"ID-84902EF31400","ID-4764D6C020C7","user","2","False","False"
"ID-217D54F2A1BE","ID-4CD49768CBBC","group","1","False","False"
"ID-4CD49768CBBC","ID-4764D6C020C7","user","2","False","False"
"ID-217D54F2A1BE","ID-4764D6C020C7","user","1","False","False"
"ID-057D984D0EAE","ID-43A3A913834C","user","1","False","False"
"ID-057D984D0EAE","ID-0C71E9A64759","user","1","False","False"
"ID-917EC60BFDBE","ID-2FB3A5B2FA39","user","1","False","False"
"ID-917EC60BFDBE","ID-EFE28849A80E","user","1","False","False"
"ID-7D56D2ECB22D","ID-F118F8945D1C","user","1","False","False"
"ID-7D56D2ECB22D","ID-3F51F6DED13D","user","1","False","False"
"ID-E237AD7E8BDA","ID-A7F7D62BE415","user","1","False","False"
"ID-E237AD7E8BDA","ID-B898CF4E4240","user","1","False","False"
"ID-571A541FF60A","ID-B898CF4E4240","user","1","False","False"
"ID-571A541FF60A","ID-46252BE4AEE4","user","1","False","False"
"ID-687A616F85F3","ID-46252BE4AEE4","user","1","False","False"
"ID-687A616F85F3","ID-99D73453162A","user","1","False","False"
"ID-DC3A8847827C","ID-99D73453162A","user","1","False","False"
"ID-DC3A8847827C","ID-A0DD686A99C2","user","1","False","False"
"ID-D6C59B0DB23B","ID-A0DD686A99C2","user","1","False","False"
"ID-D6C59B0DB23B","ID-99A59BE919C9","user","1","False","False"
"ID-29FB63F94E86","ID-99A59BE919C9","user","1","False","False"
"ID-29FB63F94E86","ID-407FA950FF27","user","1","False","False"
"ID-78E7108BCD84","ID-407FA950FF27","user","1","False","False"
"ID-78E7108BCD84","ID-0AE48885A9A8","user","1","False","False"
"ID-668D702A3B42","ID-0AE48885A9A8","user","1","False","False"
"ID-668D702A3B42","ID-E4164C0355C5","user","1","False","False"
"ID-093406368D0D","ID-E4164C0355C5","user","1","False","False"
"ID-093406368D0D","ID-C76AA1A29208","user","1","False","False"
"ID-B40108628416","ID-C76AA1A29208","user","1","False","False"
"ID-B40108628416","ID-91993A65D3FC","user","1","False","False"
"ID-D0E6212A1903","ID-91993A65D3FC","user","1","False","False"
"ID-D0E6212A1903","ID-D7CFE2D06B75","user","1","False","False"
"ID-854394441E3F","ID-D7CFE2D06B75","user","1","False","False"
"ID-854394441E3F","ID-C76EFB0380D0","user","1","False","False"
"ID-05E43A2BD8D7","ID-C76EFB0380D0","user","1","False","False"
"ID-05E43A2BD8D7","ID-4766606E6525","user","1","False","False"
"ID-4410F85C00D9","ID-4766606E6525","user","1","False","False"
"ID-4410F85C00D9","ID-F16C321DA833","user","1","False","False"
"ID-7F0967DB5618","ID-F16C321DA833","user","1","False","False"
"ID-7F0967DB5618","ID-6646AA0BC856","user","1","False","False"
"ID-EC31528D264D","ID-6646AA0BC856","user","1","False","False"
"ID-EC31528D264D","ID-D15BCED37EFE","user","1","False","False"
"ID-A109E3A45A1D","ID-D15BCED37EFE","user","1","False","False"
"ID-A109E3A45A1D","ID-2B54D51037CC","user","1","False","False"
"ID-E7D29DBBD4D7","ID-2B54D51037CC","user","1","False","False"
"ID-E7D29DBBD4D7","ID-2EE301AEFBFF","user","1","False","False"
"ID-603CFB446CF7","ID-2EE301AEFBFF","user","1","False","False"
"ID-603CFB446CF7","ID-ACCF77D59FA9","user","1","False","False"
"ID-24D01D65F615","ID-ACCF77D59FA9","user","1","False","False"
"ID-24D01D65F615","ID-0959F5D21195","user","1","False","False"
"ID-44657658B6DB","ID-0959F5D21195","user","1","False","False"
"ID-44657658B6DB","ID-9C1519ED800A","user","1","False","False"
"ID-73C17C1E688F","ID-9C1519ED800A","user","1","False","False"
"ID-73C17C1E688F","ID-9A396F299387","user","1","False","False"
"ID-79D0742AB866","ID-9A396F299387","user","1","False","False"
"ID-79D0742AB866","ID-E309921BB813","user","1","False","False"
"ID-3B8F8740FC9E","ID-E309921BB813","user","1","False","False"
"ID-3B8F8740FC9E","ID-E789F8B15ADF","user","1","False","False"
"ID-8B2B268DE117","ID-E789F8B15ADF","user","1","False","False"
"ID-8B2B268DE117","ID-B908E08FED41","user","1","False","False"
"ID-FCBAC2D8E42C","ID-B908E08FED41","user","1","False","False"
"ID-FCBAC2D8E42C","ID-BBDEA133EA56","user","1","False","False"
"ID-8ABAE59D378A","ID-BBDEA133EA56","user","1","False","False"
"ID-8ABAE59D378A","ID-FA76A5E52237","user","1","False","False"
"ID-BAD03F2D33FE","ID-FA76A5E52237","user","1","False","False"
"ID-BAD03F2D33FE","ID-1649F6F7FB1F","user","1","False","False"
"ID-CE85D9B0884B","ID-1649F6F7FB1F","user","1","False","False"
"ID-CE85D9B0884B","ID-605C849B0E5D","user","1","False","False"
"ID-11C987418654","ID-605C849B0E5D","user","1","False","False"
"ID-11C987418654","ID-3156A6D6206E","user","1","False","False"
"ID-3BFEE9F4C97A","ID-3156A6D6206E","user","1","False","False"
"ID-3BFEE9F4C97A","ID-29D319426258","user","1","False","False"
"ID-2DBE1A7E58C4","ID-29D319426258","user","1","False","False"
"ID-2DBE1A7E58C4","ID-C544FEF50EC3","user","1","False","False"
