"ItemId","ShareId","FullPath","Identity","Rights","AccessControlType","IsInherited","InheritanceFlags","PropagationFlags","Depth"
"1d0ccf42b61a4d3f8a8ccd903207a0de","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","LAB\SS-Eng-Readers","ReadAndExecute, Synchronize","Allow","False","ContainerInherit,ObjectInherit","None","0"
"1d0ccf42b61a4d3f8a8ccd903207a0de","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","BUILTIN\Administrators","FullControl","Allow","True","None","None","0"
"1d0ccf42b61a4d3f8a8ccd903207a0de","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","BUILTIN\Administrators","0x10000000","Allow","True","ContainerInherit,ObjectInherit","InheritOnly","0"
"1d0ccf42b61a4d3f8a8ccd903207a0de","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","NT AUTHORITY\SYSTEM","FullControl","Allow","True","None","None","0"
"1d0ccf42b61a4d3f8a8ccd903207a0de","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","NT AUTHORITY\SYSTEM","0x10000000","Allow","True","ContainerInherit,ObjectInherit","InheritOnly","0"
"1d0ccf42b61a4d3f8a8ccd903207a0de","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None","0"
"1d0ccf42b61a4d3f8a8ccd903207a0de","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","NT AUTHORITY\Authenticated Users","0xFFFFFFFFE0010000","Allow","True","ContainerInherit,ObjectInherit","InheritOnly","0"
"1d0ccf42b61a4d3f8a8ccd903207a0de","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","None","None","0"
"1d0ccf42b61a4d3f8a8ccd903207a0de","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering","BUILTIN\Users","0xFFFFFFFFA0000000","Allow","True","ContainerInherit,ObjectInherit","InheritOnly","0"
"c0aa815c70f2449f83c8d600a9250fd3","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","LAB\SS-Eng-Readers","ReadAndExecute, Synchronize","Allow","True","ContainerInherit,ObjectInherit","None","1"
"c0aa815c70f2449f83c8d600a9250fd3","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","BUILTIN\Administrators","FullControl","Allow","True","None","None","1"
"c0aa815c70f2449f83c8d600a9250fd3","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","BUILTIN\Administrators","0x10000000","Allow","True","ContainerInherit,ObjectInherit","InheritOnly","1"
"c0aa815c70f2449f83c8d600a9250fd3","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","NT AUTHORITY\SYSTEM","FullControl","Allow","True","None","None","1"
"c0aa815c70f2449f83c8d600a9250fd3","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","NT AUTHORITY\SYSTEM","0x10000000","Allow","True","ContainerInherit,ObjectInherit","InheritOnly","1"
"c0aa815c70f2449f83c8d600a9250fd3","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","NT AUTHORITY\Authenticated Users","Modify, Synchronize","Allow","True","None","None","1"
"c0aa815c70f2449f83c8d600a9250fd3","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","NT AUTHORITY\Authenticated Users","0xFFFFFFFFE0010000","Allow","True","ContainerInherit,ObjectInherit","InheritOnly","1"
"c0aa815c70f2449f83c8d600a9250fd3","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","None","None","1"
"c0aa815c70f2449f83c8d600a9250fd3","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\EnterpriseEvidence","BUILTIN\Users","0xFFFFFFFFA0000000","Allow","True","ContainerInherit,ObjectInherit","InheritOnly","1"
"1a19fc05d19941098fef2b00f158438b","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\Projects","LAB\SS-Eng-Readers","ReadAndExecute, Synchronize","Allow","True","ContainerInherit,ObjectInherit","None","1"
"1a19fc05d19941098fef2b00f158438b","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\Projects","BUILTIN\Administrators","FullControl","Allow","True","None","None","1"
"1a19fc05d19941098fef2b00f158438b","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\Projects","BUILTIN\Administrators","0x10000000","Allow","True","ContainerInherit,ObjectInherit","InheritOnly","1"
"1a19fc05d19941098fef2b00f158438b","share-WINSERVER-SSEngineering","C:\ShareSurferEnterpriseLab\Engineering\Projects","NT AUTHORITY\SYSTEM","FullControl","Allow","True","None","None","1"
